"Text","Assoc 1","Assoc 2","Assoc 3","Assoc 4","Assoc 5","Feeling","Colour"
"I am at Redwood and there's a swimming pool but it looks really strange, there's a part that's really shallow which you have to get into first before you can get into the real part, so I hadn't gotten into the real part yet but had only gotten into the shallow part before I woke up, and I could sense that the shallow part was a different shape, and there were some people sitting around in the shallow part and they told me that I would have to go by them to get to the deep part and the re were like two different sections and you had to climb over this funny section before you could get to the real swimming part. And then we were at the Redwood school where I went when I was really little for that pool part of the dream and then we were in my house and people had come to my house and there were kids and they went into my pocket book and they moved all my stuff around and I was trying to figure out what they had done, and they took my signature guide and they took the top off of it so that I couldn't use it anymore and I wasn't very happy about that and I told them that. I noticed that on the signature guide the top was missing one corner so that it didn't go straight across and it wasn't a rectangle anymore, and I was trying to figure out what they were doing and why they were messing up all of my stuff. In the middle of it, one of my client's case records were on my bed too, all my Braille notes to them, not the print ones and I was looking at them and reading them and going through them and figuring out what was going on with that. (317 words)","Redwood","swimming pool","strange","signature guide","Braille",0,
"I am in a car with my friend Mark. Mark is totally blind and so am I. The interesting thing about this is that I am driving the car. I am driving the car from somewhere to my house. I don't know how I seem to know where to go, but I seem to know. I told him that I am going to drive us home and I'm doing it. I always wished that I could drive although this is the first dream I have ever had where I'm doing it. The main senses I used in this were hearing because I could listen to him and hear what he was saying, I could hear the other traffic around me. And feeling. I could feel the upholstery around me in the car, the steering wheel. I was driving the car, that's all there is to that dream. (147 words)","blind","driving","Mark","hearing","upholstery",0,
"I am sitting in Sandra's kitchen. I know its a kitchen because it is very similar to my kitchen. The layout is exactly the same. I am eating some delicious sandwiches made out of crusty rye bread and ham and cheese. Big, thick sandwiches. In reality I have no idea who this Sandra is but in my dreams I appear to know her. She is a German woman with a high voice and a very pleasant accent, she's very friendly. I am enjoying these delicious sandwiches so much that I don't want to leave, but I have to catch a train. I know I have to catch a train, I keep telling Sandra that I have to catch a train but she keeps offering me more sandwiches and I keep staying to eat them even though I have to catch this train to where ever it is, I don't know where. It's not made clear in the dream. I remember the taste of the delicious ham and cheese and the rye bread, hearing Sandra's laughter and high pitched chatter, being aware of being in her kitchen, sitting at her table, touching the table with my fingertips, tapping my feet on the floor and this impending urgency to catch this train, although it wasn't so urgent, I really didn't want to leave because I was enjoying her company and the sandwiches so much. (232 words)","Sandra","kitchen","sandwiches","Geman","train","delicious",
"I am talking to my father on the telephone. In reality my father died this past Spring. His death hit me very hard. In this dream I was talking too him on the telephone, and I said to him ""where are you?"" and he said ""I'm in Shreveport Hospital"" Shreveport Hospital is about 20 minutes away from us but is not the hospital we use. I said to him ""what are you doing there?"" and he said "" The police found me in the street and they brought me to Shreveport hospital."" And I said to him, ""If you're in Shreveport Hospital, then who is that man we buried?"" And he started to laugh and he said ""I don't know, but its not my problem."" The main sense that I used in that dream was hearing, talking and listening to him on the telephone and holding the telephone, I could feel the receiver in my hand. (156 words)","father","dead","telephone","Shreveport","hospital",0,
"I am talking with my niece who is very nervous about starting high school, she is nervous in reality and in the dream she was nervous. She kept complaining about back pain although in reality, she does not have a back problem. I kept trying to reassure her, I knew her back pain was due to nerves. And she kept talking about how she didn't want to go to school, she had back pain. The senses I uses primarily in this dream were touch, when I was hugging her, trying to make her feel better, I was touching her hair, her hair is very long and silky, she had just washed it and I could smell the shampoo in her hair, smell of course, and hearing, and I could feel my arms enclose her and squeeze her. I kept trying to tell her not to be nervous, she was so nervous about being a freshman in high school. (158 words)","niece","nerves","back pain","touch","high school","nervous",
"I am walking over some difficult terrain, up a hill, over rocks etc. There are always 2 ways to deal. Jesus is there pulling me, assisting me with the difficult way and the devil is there too, guiding me toward a much easier, pleasanter route; fields of flowers and cool breezes, paved paths and so forth. The odd thing is, both Jesus and the devil look alike in the dream. Their faces are both smooth, unlined, clean shaven, like a baby's cheeks. They sometimes are pulling in opposite directions but there is no hostility or violence. I would always wake up just as I noticed their similarity. (107 words)","difficult terrain","Jesus","devil","two ways","baby's cheeks",0,
"I dreamed about a young lady who was a very close friend of my daughter's when they were in elementary school together, her name is L. L subsequently moved to Florida and is gay. However I dreamed that L was getting married and I don't know if I was the organist or part of the wedding party or just a guest, but all the brides maid were absolutely beautiful and L came out of the dressing room in a gorgeous bright blue wedding gown. (84 words)","young lady","elementary school","gay","Florida","wedding",0,
"I dreamed about my younger daughter, C. In the dream she was a small child again and I was leaning out an upstairs window of an apartment where we lived apparently, and she was crossing a very busy street and I shouted down to her ""C watch what you're doing!"" Because she wasn't watching where she was going and the traffic was very heavy and she just said ""yeah"" and she bent over and picked up a banana peal and once again I shouted ""don't pick up other people's garbage!"" and she flaunted the banana peal, waved it around. (99 words)","daughter","banana peel","garbage","upstairs","street",0,
"I dreamed I was at work and actually I was seeing a client in his house. The client became very violent and took me hostage. They separated me from Sammy and I said to them, ""Please, I can do without food and things like that but please don't take me away from Sammy. Sammy means a lot to me and I wouldn't do that to you."" They laughed and told me that I didn't need Sammy and they needed her more than I did. I told them that Sammy was trained to work just for me as are all guide dogs. And they said that she'd work for us or they'd kill her. The person decide to try and work with Sammy and when she didn't go with them, they said they killed her. I heard a gunshot and so I knew they did and I started weeping. I could not believe that somebody would do that. (157 words)","Sammy","killed","hostage","work","weeping","violent",
"I dreamed I was visiting a young couple, Carl and Brandy, they were just married in May so they're still young honeymooners and while I was visiting there they proceeded to have their first argument. I could tell they were beginning an argument so I decided to leave for a while and give them the privacy that I thought they should have to take care of whatever was troubling them but I fully intended to return later on because I had been invited to dinner and I was going to come back and eat dinner. I don't know how I stay so small with all the eating I do in my dreams. (112 words)","first","honeymoon","Carl","Brandy","argument",0,
"I dreamed of a married couple that I really know and they were visiting in my home. I was sitting with a lady Peggy and Donald, I could hear in another room something about how he would like a cold beer and I realized that all of the beer that I had in the house was warm and I did say to Peggy ""Did she mind if I asked Don to go to the store and just get some cold beer?"" She got so upset! To console her I reached out to stroke her hair. It was long, I could feel it, and it was permed and my feeling in the dream was complete puzzlement at her reaction to a simple request about the store. (125 words)","married","Peggy","Donald","beer","hair","puzzlement",
"I dreamed that a friend of mine gave me 500 dollars and took me shopping. We went into a department store and I picked out a pair of jeans and a pair of pajamas which were really fleecy the dream immediately switched over to my community chorus where one of the members told me that an older member had recently been committed to a nursing home, this is someone who is lively and fun to be with and I said 'oh that's too bad!' (84 words)","five hundred","shopping","community chorus","nursing home","too bad",0,
"I dreamed that I had emptied my cat litter box. The cardboard box that was rectangular and had the cat litter in it also had a small spout on the side that you could pour the cat litter out of and when I came out of the bathroom where I had been doing this, my mother, who had come over to the house said: ""that was laundry soap that you put in there, not cat litter"". (76 words)","box","cat litter","spout","soap","bathroom",0,
"I dreamed that I was coming out of the upstairs bathroom in my parents house and as I was standing out in the hallway, listening, I heard the TV blaring, and it was a news magazine like 20/20 and the topic was Job Searching. I groaned inwardly and thought 'oh great, here we go again' because now my parents were going to bring up the whole issue of finding a job. And I don't want to discuss it. (78 words)","upstairs","bathroom","parents","job searching","groan",0,
"I dreamed that I was in Alaska on a beautiful, bright blue, stretch of water, I don't know if it was a lake or a river and I was paddling a kayak, and the front of it was about 10, or 12 feet long, and the back was equally long and I don't think I had a double bladed paddle, I think it was just a single blade like a canoe paddle and I was just moving along on this lake and it was just absolutely gorgeous. (87 words)","Alaska","blue","lake","kayak","single-blade","gorgeous",
"I dreamed that I was romantically involved with a young man, comparatively young, middle 30s or 40s. I felt completely attractive and as though I fully deserved the affections of this young man, who's name I do not know. We went many places together and did many things together. He would hold my hand whenever we were walking, and if we were in a room, he would involuntarily hold me in his arms and caress me, my hair, and kiss me but very dispassionately. There were no sexual implications at all. In this particular part of the dream I was getting dressed to go out with him somewhere and he came into the room while I was getting dressed and I said ""don't come in, I'm getting dressed"" and he came in and said that we were going to go to this house on the outskirts of town, and I said ""all right, I'll be ready in just a few minutes"" and he left and my son came in and talked to me about something and whatever it was didn't make much sense and he left, and the strange thing was that my son was his age, 39, but I was still the ""younger woman"". Eventually I got dressed. I had showered and done all the feminine things, the deodorant, the cologne and so forth and met the young man and walked hand in hand for quite a distance, to a beautiful street where there were all theses old sea captains houses, like we have on the coast of Maine. The street was lined with these houses on both sides of the street and we walked by many of them and finally came to one that was more like a southern plantation with the pillars in the front supporting a balcony. And we went around to the side of this house and we entered a door and climbed a flight of stairs and there was a door at the top and he had a key which unlocked the door, and we walked into a room with very high ceiling, no carpet on the floor, but an ugly brown chair, and an ugly blue chair... I don't remember any draperies, and there was a big old television set in one corner, obviously an old, black and white and he led me through a door into another room, which was totally unfurnished, it was quite a maze of rooms actually, all empty of furnishings except that first one. There was pealing paint on the walls which I believe were painted white, but that's not very vivid now, and he left me to go somewhere and a friend of his came in and asked me how I like the apartment and I said that it could be very nice if it was fixed up and a couple, a man and a woman, presumably his wife, and a little boy came in and walked into another room, which I assumed was a bedroom, they were very, very tired, and they put the boy to bed in another small bedroom, and they disappeared and I can't describe them to you, and I stood in a hall and leaned up against a wall, and I was very nicely dressed, I had on black panty hose, and nice black shoes, a dark gray skirt with a black sweater, some earrings and I felt as though I looked very nice. And across from this hallway there was good-sized hole in the wall, 6 or 8 inches in diameter and down the floor came a good sized spider, and I am deathly afraid of spiders, and I just cringed up against this wall and shouted to this friend of my friend to please come and kill this spider and he said ""get real, I don't like them, I'm afraid of spiders too"". So he didn't come to help me and the spider just came closer on the opposite side and he tried his best to dig his way in under the wall. He couldn't, and he only had 4 legs. And he had an oval, red patch on his back, but when he climbed the wall to get up to this hole, it turned to be gray and fuzzy. And when it looked in this hole and then tilted down, clinging to the rim of this hole with his back legs, and when he lurched up and he had a very small mouse in it's 2 front legs and he tipped the mouse up and opened his mouth and the blood ran out of the mouse's mouth and into his. And I began to gag and retch and thankfully woke up. (782 words)","young","romantic","plantation house","spider","mouse","deathly afraid",
"I dreamed that I was with my friend A and I really don't know where we were and she was showing me pictures of herself and her family, dozens and dozens of them and after a while I was incredibly bored and I thought that she would never stop and we were beside a road and 2 boys, probably 12 to 15 years old, were pulling one of those bright red coaster wagons which were so popular when I was younger, and in these wagons were little children, 3, 4, 5 years old and they were just laughing and screaming and having a wonderful time and the bigger boys who were pulling the wagon, let go and gave them a push and my friend and I stood there frozen, not knowing what to do. It turned out okay, nothing happened to the small children. (144 words)","pictures","dozens","boys","red wagon","frozen","bored",
"I dreamed that I was with my old college roommate in the kitchen of my apartment and we were making lunch. I asked her to hand me a box of Kraft macaroni and cheese and she handed me instead, a foil pouch. I said to her ""That's not macaroni and cheese that's noodles and sauce"" and then I put it back in the cupboard. (64 words)","college","roommate","kitchen","Kraft macaroni","foil pouch",0,
"I dreamed that my mom and I went to an Easter service of my church and LS drove us. We got there and it was the auditorium of a local high school and we sat down in the upholstered chairs of the auditorium. There was no one there yet and I thought ""Why isn't anybody here?"". LS went to find out why there wasn't anybody there and when the service would start. So she went off to find some information, and while my mom and I sat there I took out a box of Snackwell's crackers, that were spiced with pepper and we started to eat and I thought ""Why are we doing this, these are supposed to go to my dad for Father's Day"" and I felt intensely guilty for bingeing on the crackers that were earmarked for a present. And then, as I sat there eating, I heard at the back of the room on someone's boom box, an evangelical broadcast and thought to my self, ""why aren't we doing this, we're supposed to be having a service and we're not doing it, here I am listening to the radio and its got this religious broadcast, and we're supposed to be doing this and why aren't we and why aren't there anybody here? Where is LS and why hasn't she come back?"" (224 words)","Mom","Easter","crackers","Father's Day","boom box","guilty",
"I dreamt about Mother Abigail in Stephen King's ""The Stand."" I don't know what the dream was about but she was in it along with some of the other characters from the book; Stu Redman and Frannie Goldsmith, there were some others there but that is all I can recall. I don't know where I was or anything , but the book does take place in Colorado and Mort and I were there once. (74 words)","Mother Abigail","Stephen King","The Stand","Colorado","Mort",0,
"I dreamt of a young man who used to be a very close friend of my son's, his name is R. And R and my son and my daughter were in an automobile accident, it was my son's fault, unfortunately, this is not the dream, this is real unfortunately, and R's eyes got hurt. In the dream I saw my son and he said that ""R and his wife have split up"" and I said ""oh my. Why?"" and he said ""She couldn't stand his drooling."" And I said, ""R drools?"" and he said ""yeah"" and I said ""Well can't something be done about it ?"" and my daughter jumped in and she said ""he's having electrical treatments but they don't seem to help."" And I said, ""well, that's really too bad"". And from there I went into R's mother's bathroom which was just filled with Loreal products, every conceivable product you could think of and I picked each one up and looked at it. They were all in pink bottles, and the bathroom was very lovely, I can't remember details, but these Loreal bottles were very pretty. (188 words)","automobile accident","pink","drooling","electrical treatment","bathroom",0,
"I dreamt that I ran out into the street. I heard a fire engine, a sirens. This huge, bright red fire truck came into view and apparently stopped. It was empty in back, it was just like a dumptruck in back. No hoses, no ladders, no Indian tanks, no equipment at all, but there were 3 or 4 men in the back of it. The cab was immense, it was like the truckers' rigs that you see now, like they're carrying a living room with them. One of the men said, ""I bet there are no peanuts on the floor in the front."" I don't know what he meant but that's what he said. And the rescue unit went by and when it did, by now I was sitting down, and when it went by it rattled whatever I was sitting on so badly that my head got bumped several times. (151 words)","fire engine","huge","peanuts","rattled","bumped",0,
"I dreamt that I was in Marvel Cave in Missouri. O f course I've been there to visit. I was in this big cave with all these stalactites and stalagmites around. I had been in Missouri in 1967. (38 words)","Marvel Cave","Missouri",1967,"stalactites","stalagmites",0,
"I dreamt that I was typing medical reports at work which is what I do. Sitting at the desk listening to the doctor's dictation, with the headphones in my ears. I was typing a report about a woman who had twins. The woman's first name was Tina and she had a cesarean section and she had twins. I was talking to my friend Louise whom I work with, I was mentioning that this lady had twins and I was typing, and all of a sudden, somehow, and don't ask me how it happened, I ended up upstairs in the hospital bed, and I was the one who had had the twins! Twin boys and I named them Kyle and Kevin. I don't know how I got to typing at my desk to being the one who had the twins, but that's what happened in the dream. The senses I used in this dream were primarily hearing; I could hear the typewriter typing, the dictation, Tina talking to me, and upstairs I could hear the babies crying, and the nurse talking to me. I was laying in bed, I could feel the bed, earlier I felt myself sitting at my desk, and typing. It was strange but pleasant. (207 words)","medical reports","twins","typing","hearing","upstairs","strange but pleasant",
"I dreamt that I was watching TV the way I have to, very, very close to the screen, when along came this huge, black, furry spider and covered the screen. I felt all the hair on my head stand up and then I realized that it was part of the program and so I turned off the set. (58 words)","TV","very close","huge ","spider","hair",0,
"I dreamt that Mort and I had a child. A little girl. We were out shopping somewhere and someone was home here, taking care of our baby. I don't know the baby's name because I woke up before they could tell me, but evidently, I must have just come out of the hospital because everybody was congratulating us over just becoming parents, everything like that. I couldn't understand, but they were giving us a party and everything, probably a late baby shower because the baby came a little early, just like we did!. (93 words)","Mort","little girl","baby shower","early","late",0,
"I dreamt that Sage's dog was at my house. I don't know what it was doing here, but I was petting this very silky soft, long-eared dog, bigger than my dog. He was licking me and was friendly and everything and when I woke up I realized Sage's dog, her dog that I was dreaming of, had been dead for a couple of years. (64 words)","Sage","dog","silky","long-eared","dead",0,
"I guess I died in this dream because I went to heaven and I was surrounded by this gigantic Angel Choir, singing different hymns, things you see when you die, in fact they had me try out and I was so good that they had me become part of the choir. I guess we had good times if you can say that angels have good times. At least I knew I was on the side of the good guys and not down in Hell with the devil. (87 words)","heaven","died","Angel Choir","good times","huge",0,
"I had a dream I was in a mall and I was shopping with my friend X from S [the club] and this guy who was with X but I don't think it was her husband. I was in a wheel chair and so was she and we were going through this store. A section of the store with lots of clothes. It wasn't all a clothes store and it had sort of the usual mall kind of lighting. And it was quiet, not too quiet, like the store was carpeted so it was not too echoey in there. For some reason I decided to walk to the next store, I was walking with my sister and we were in the next store and walking around and I realized that I left my wheel chair in the last store and someone went back to get it and then somehow we ended up, X and I were parked next to the front of the store where it goes into the mall, like this really wide area, we were just parked there in our wheelchairs and this guy who was with X, and so was my sister, said something to X and she said something back like ""we'll talk about it later"" and she sounded like a little kid. And I said ""okay"". And the guy said something to us like, ""you know, you two used to be so normal until you started hanging out together."" And I realized I was sucking on my hand like a little kid and I took my hand out of my mouth and felt really stupid. And X said ""You should be glad, at least we survived"". (279 words)","mall","wheelchair","little kid","stupid","survived",0,
"I had a dream of a friend of my father's whose been very kind to me since my father died, I'll call him Jim [not his real name]. In the dream I was laying in bed, I was with Jim, he had his arms around me, and he kept saying, ""Oh, its so good to have you back in my arms again."" That's all that he kept saying. It was funny, because it wasn't a sexual dream, it was more a comfort dream, it was comforting to be with him and the senses I used were three of course; hearing, I could hear him talking to me, touch, I could feel his arms around me, and the mattress and the bedding, and smell, I could smell his cologne. It was not sexual, it was comfortable, peaceful, I enjoyed being with him. (138 words)","kind","not sexual","bed","arms","cologne","comfortable, peaceful",
"I had a dream that I was standing in a rehearsal of my community chorus for a concert and we were dancing as we were singing a mellow Carpenters number and I was relieved to find that I was following everyone else's movements and not out of step with them. Our conductor asked a friend of mine, R, a recovering anorexic, to stand up and speak some words about the disorder in the middle of a song, but she never got up and because I didn't hear her speak I thought to myself: ""why is she not getting up?"" and speaking the way she's supposed to be. (107 words)","community chorus","Carpenters","anorexic","movements","out of step",0,
"I had a weird sort of dream, I was stuck somewhere, in a doctor's office, like in an exam room, waiting for a long time and then I left. The whole office had a sort of maroon carpeting and looked like it had been a really big house at some point or something and then I walked out of the exam, the whole office, I was wandering around this big long hall and it was carpeted the same way and it had big huge windows lining the whole hall I think on both sides, and it looked kind of late out, not like real sunny and I guess I was there a really long time because a nurse came out from the doctor's office and said that I'd been there a really long time and did I have a ride home, and I suddenly realized that I didn't, that I hadn't made arrangements with the patient transport [company] to go home and that it was after 5 and I couldn't and besides, I needed 24 hours notice. And so I was wandering around the halls of this really big building looking for a phone and I think I remember going back into the doctor's office and calling D, my husband, but he was staying with his brother and his mother and I guess because his van broke or something and that he had gone to bed and I so I was wandering around this building, and all of a sudden I was with somebody. And they kept changing who they were and they changed from my best friend in grade school through high school to my best friend from high school through college, and my best friend now, and they kept switching from one person to the other and we were going all around this building and somehow we ended up in my old church, outside the sanctuary and I started to go down the stairs to the lower hall of the church and I said to my friend ""I've got to find a phone, I wish I could find a phone"" and the church was lit, like it always was when I could see, but it was late like it looked at night. Then she called me and said ""there's a phone right here"". And so I went back up the stairs, but I felt kind of scared or anxious about going back, and then I got to the phone and found that I didn't know how to use it, I finally figured out how to use it and began to dial it and I dialed 4-6 and then I realized I was dialing my parent's old phone number and that they didn't live there anymore, and they were really far away and they couldn't help me anymore and I hung up and I started to cry and I said to my friend, ""nobody can help me, nobody can help me I don't belong here"" and I went down this back hall which used to belong to the nursery school that was held at our church, and I was crawling down the hall and I came up to this room and I was still crawling, and I went in but it was my next door neighbor's play room from when I was little. I was crawling across the play room and I was, there were toys everywhere, like on, all over the floor like there always were there, but I wanted to get up on the couch for some reason, it looked kind of like mid-afternoon in the playroom, I think there was something else, in the playroom, like some other scene which I'm not remembering... Then my friend came back in later and I crawled back over to her and I curled up against her and I was crying ""I want to go home, I want to go home"" and she wasn't saying anything, but I thought that she was thinking that I was crazy for acting like a little kid. (672 words)","doctors office","huge","church","phone","home","weird",
"I had an X-rated dream that I won't tell you about. I dreamed about a man that I know who I am not attracted to at all when I'm awake so I was surprised to have a sexual dream about him. (41 words)","x-rated","sexual","not attracted","man",0,"surprised",
"I had another dream about the beach and about the water. We were swimming in the water and some people were walking on the sand and so were we. And some camp stuff. (33 words)","beach","water","swimming","sand","people",0,
"I had another dream earlier about F again, he and I were in a room. I think, just standing and talking and all of a sudden he said, ""Oh, I get it!"" and he looked up and d here was this shelf with 2 hats on it, one was his and one was mine; a red baseball type cap with the Marine emblem on the front, like I bought at the PX of the [veterans hospital]. His was like a felt hat that men wear in the winter but it was made of straw and it was on top of my hat, and apparently this was a very sexual thing to him because he turned to look at me and he said ""I know why you did that"" and there was a sexual tension in the air and you (the researcher) walked into the room and looked at us and looked at the 2 hats and began to laugh. (158 words)","2 hats","Marine emblem","straw","felt","sexual tension",0,
"I had made an appointment with my hairdresser to get a permanent. I went there and the hairdresser said that there were some changes. I sat down in the chair and she pushed a button somewhere and these scissors came out of the wall I think, and began to cut my hair. They were automatic. They would cut for so long and then they would stop. I could hear this noise, this motor, I guess they were going back into the wall or wherever they came from. She said ""that's fine, this won't hurt you, sit down in this chair."" I did and all these rollers came out and went where they should go automatically. Then she said I would have to go under the dryer and I said there wasn't one. She said ""Oh no, you have to stand up under the dryer."" I did and the dryer was there and she pushed a button and the dryer came on and dried my hair off. Of course she had shampooed it first and put all that gunk in it. She had this little machine which was on for 20 minutes or so, this dryer thing. Then she said ""I've got to put on the neutralizer, the stuff you have to put on your hair to make the permanent perm. Then she said come over to this part of the room and I went and she brought me over to another machine and she said ""put your head back."" There was no sink there or anything like there usually is. Then this lotion came out from this place in the wall I guess. When it was over, she said that she wanted to give me a blow cut so I had to go back to the dryer again. In real life my hairdresser does all these things herself but in the dream it was all done automatically. I don't know if she had robots or what. I remember her telling me that the equipment had just come and she wanted to try it out and so I guess I was playing her guinea pig. (354 words)","hairdresser","automatic","dryer","permanent","guinea pig",0,
"I had this dream 2 or 3 nights ago that I was going to New Zealand, and we stopped off in China, I say 'we' but I have no idea who was with me, but we stopped in China and we found a McDonalds and I lost my luggage and the tickets we needed to go to New Zealand. The sites in China, or maybe Japan, it was one of the oriental countries and the sites that we saw were very typical of the sites that I've seen in magazines or on TV and stuff, I can't remember any explicit scenes. (101 words)","New Zealand","China","McDonalds","tickets","explicit scenes",0,
